번호	사이트 종류	제목	작가	이미지	링크	최신화 제목	최신화 링크
18	네이버	일진이 사나워	강환영 / 김현아	https://shared-comic.pstatic.net/thumb/webtoon/721949/thumbnail/thumbnail_IMAG10_bc410cd5-8c6b-48de-8f01-340e13ed7623.jpg	https://comic.naver.com/webtoon/list.nhn?titleId=721949&weekday=mon	14화	https://comic.naver.com/webtoon/detail.nhn?titleId=721949&no=14&weekday=mon
19	네이버	유일무이 로맨스	두부	https://shared-comic.pstatic.net/thumb/webtoon/709731/thumbnail/thumbnail_IMAG10_ed364623-7f67-49a0-bc8f-e8d894fe2c81.jpg	https://comic.naver.com/webtoon/list.nhn?titleId=709731&weekday=mon	52화	https://comic.naver.com/webtoon/detail.nhn?titleId=709731&no=52&weekday=mon
20	네이버	히어로메이커	빤쓰	https://shared-comic.pstatic.net/thumb/webtoon/21815/thumbnail/thumbnail_title_21815_83x90.gif	https://comic.naver.com/webtoon/list.nhn?titleId=21815&weekday=mon	가만히	https://comic.naver.com/webtoon/detail.nhn?titleId=21815&no=661&weekday=mon
21	네이버	오늘의 순정망화	손하기	https://shared-comic.pstatic.net/thumb/webtoon/716857/thumbnail/thumbnail_IMAG10_cf1f325d-f0de-452d-a996-7e95cee200f4.jpg	https://comic.naver.com/webtoon/list.nhn?titleId=716857&weekday=mon	89화	https://comic.naver.com/webtoon/detail.nhn?titleId=716857&no=89&weekday=mon
22	네이버	푸들과 Dog거중	최삡뺩	https://shared-comic.pstatic.net/thumb/webtoon/721559/thumbnail/thumbnail_IMAG10_82439b6a-170a-4b02-a9a5-06793062cd51.jpg	https://comic.naver.com/webtoon/list.nhn?titleId=721559&weekday=mon	30. 중성화 수술 3	https://comic.naver.com/webtoon/detail.nhn?titleId=721559&no=30&weekday=mon
23	네이버	부로콜리왕자	산삼	https://shared-comic.pstatic.net/thumb/webtoon/710741/thumbnail/thumbnail_IMAG10_c0dd56d6-d08a-4552-91f2-3be36b397349.jpg	https://comic.naver.com/webtoon/list.nhn?titleId=710741&weekday=mon	45화 다시 들어가는거야?!	https://comic.naver.com/webtoon/detail.nhn?titleId=710741&no=46&weekday=mon
24	네이버	피플	서승준 / 손창균	https://shared-comic.pstatic.net/thumb/webtoon/706590/thumbnail/thumbnail_IMAG10_8cc2bc75-2907-4654-b60b-71e5f0af6fd2.jpg	https://comic.naver.com/webtoon/list.nhn?titleId=706590&weekday=mon	54화 하지마섬(13)	https://comic.naver.com/webtoon/detail.nhn?titleId=706590&no=55&weekday=mon
25	네이버	내 어린고양이와 늙은개 (재)	초	https://shared-comic.pstatic.net/thumb/webtoon/720120/thumbnail/thumbnail_IMAG10_97de015a-6d49-442e-8fd9-ddee2c1ed6b7.jpg	https://comic.naver.com/webtoon/list.nhn?titleId=720120&weekday=mon	69화&70화	https://comic.naver.com/webtoon/detail.nhn?titleId=720120&no=52&weekday=mon
26	네이버	꿈의 기업	문지현	https://shared-comic.pstatic.net/thumb/webtoon/687915/thumbnail/thumbnail_IMAG10_e03acc4a-a1ce-4ebc-a021-e3cc07af5f20.jpg	https://comic.naver.com/webtoon/list.nhn?titleId=687915&weekday=mon	3부 54화	https://comic.naver.com/webtoon/detail.nhn?titleId=687915&no=124&weekday=mon
27	네이버	닥터 하운드	아루아니 / 레임	https://shared-comic.pstatic.net/thumb/webtoon/700858/thumbnail/thumbnail_IMAG10_a01d69ed-7018-4f26-8c9e-e081b66037eb.jpg	https://comic.naver.com/webtoon/list.nhn?titleId=700858&weekday=mon	83화 #8 미궁_7	https://comic.naver.com/webtoon/detail.nhn?titleId=700858&no=83&weekday=mon
28	네이버	오직 나의 주인님	상수	https://shared-comic.pstatic.net/thumb/webtoon/703635/thumbnail/thumbnail_IMAG10_7a8264f9-065a-4238-8fd4-c69dd45bf50d.jpg	https://comic.naver.com/webtoon/list.nhn?titleId=703635&weekday=mon	69화 - 일상으로	https://comic.naver.com/webtoon/detail.nhn?titleId=703635&no=69&weekday=mon
